EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,H_.160-.320MEV/N_1/(cm**2-s-sr-MeV/nucleon),H_.320-.640MEV/N_1/(cm**2-s-sr-MeV/nucleon),H_.640-1.280MEV/N_1/(cm**2-s-sr-MeV/nucleon),H_1.280-2.560MEV/N_1/(cm**2-s-sr-MeV/nucleon),H_2.560-7.240MEV/N_1/(cm**2-s-sr-MeV/nucleon),HE3_.072-.160MEV/N_1/(cm**2-s-sr-MeV/nucleon),HE3_.160-.320MEV/N_1/(cm**2-s-sr-MeV/nucleon),HE3_.320-.640MEV/N_1/(cm**2-s-sr-MeV/nucleon),HE3_.640-1.280MEV/N_1/(cm**2-s-sr-MeV/nucleon),HE3_1.280-3.620MEV/N_1/(cm**2-s-sr-MeV/nucleon),HE3_3.620-7.240MEV/N_1/(cm**2-s-sr-MeV/nucleon),HE3_7.240-10.20MEV/N_1/(cm**2-s-sr-MeV/nucleon),HE4_.063-.080MEV/N_1/(cm**2-s-sr-MeV/nucleon),HE4_.080-.113MEV/N_1/(cm**2-s-sr-MeV/nucleon),HE4_.113-.160MEV/N_1/(cm**2-s-sr-MeV/nucleon),HE4_.175-.226MEV/N_1/(cm**2-s-sr-MeV/nucleon),HE4_.226-.320MEV/N_1/(cm**2-s-sr-MeV/nucleon),HE4_.320-.453MEV/N_1/(cm**2-s-sr-MeV/nucleon),HE4_.453-.640MEV/N_1/(cm**2-s-sr-MeV/nucleon),HE4_.640-.905MEV/N_1/(cm**2-s-sr-MeV/nucleon),HE4_.905-1.280MEV/N_1/(cm**2-s-sr-MeV/nucleon),HE4_1.280-1.810MEV/N_1/(cm**2-s-sr-MeV/nucleon),HE4_1.810-2.560MEV/N_1/(cm**2-s-sr-MeV/nucleon),HE4_2.560-3.620MEV/N_1/(cm**2-s-sr-MeV/nucleon),HE4_L3.620-5.120MEV/N_1/(cm**2-s-sr-MeV/nucleon),HE4_L5.120-7.240MEV/N_1/(cm**2-s-sr-MeV/nucleon),HE4_L7.240-8.670MEV/N_1/(cm**2-s-sr-MeV/nucleon),C_.041-.111MEV/N_1/(cm**2-s-sr-MeV/nucleon),C_.111-.160MEV/N_1/(cm**2-s-sr-MeV/nucleon),C_.160-.320MEV/N_1/(cm**2-s-sr-MeV/nucleon),C_.320-.640MEV/N_1/(cm**2-s-sr-MeV/nucleon),C_.640-1.280MEV/N_1/(cm**2-s-sr-MeV/nucleon),C_1.280-2.560MEV/N_1/(cm**2-s-sr-MeV/nucleon),C_2.560-5.120MEV/N_1/(cm**2-s-sr-MeV/nucleon),C_5.120-10.20MEV/N_1/(cm**2-s-sr-MeV/nucleon),C_10.20-14.00MEV/N_1/(cm**2-s-sr-MeV/nucleon),O_.040-.090MEV/N_1/(cm**2-s-sr-MeV/nucleon),O_.090-.160MEV/N_1/(cm**2-s-sr-MeV/nucleon),O_.160-.320MEV/N_1/(cm**2-s-sr-MeV/nucleon),O_.320-.640MEV/N_1/(cm**2-s-sr-MeV/nucleon),O_.640-1.280MEV/N_1/(cm**2-s-sr-MeV/nucleon),O_1.280-2.560MEV/N_1/(cm**2-s-sr-MeV/nucleon),O_2.560-5.120MEV/N_1/(cm**2-s-sr-MeV/nucleon),O_5.120-10.40MEV/N_1/(cm**2-s-sr-MeV/nucleon),NE_S_.061-.080MEV/N_1/(cm**2-s-sr-MeV/nucleon),NE_S_.080-.160MEV/N_1/(cm**2-s-sr-MeV/nucleon),NE_S_.160-.320MEV/N_1/(cm**2-s-sr-MeV/nucleon),NE_S_.320-.640MEV/N_1/(cm**2-s-sr-MeV/nucleon),NE_S_.640-1.280MEV/N_1/(cm**2-s-sr-MeV/nucleon),NE_S_1.280-2.560MEV/N_1/(cm**2-s-sr-MeV/nucleon),NE_S_2.560-7.040MEV/N_1/(cm**2-s-sr-MeV/nucleon),FE_.035-.040MEV/N_1/(cm**2-s-sr-MeV/nucleon),FE_.040-.080MEV/N_1/(cm**2-s-sr-MeV/nucleon),FE_.080-.160MEV/N_1/(cm**2-s-sr-MeV/nucleon),FE_.160-.320MEV/N_1/(cm**2-s-sr-MeV/nucleon),FE_.320-.640MEV/N_1/(cm**2-s-sr-MeV/nucleon),FE_.640-.905MEV/N_1/(cm**2-s-sr-MeV/nucleon),FE_.905-1.280MEV/N_1/(cm**2-s-sr-MeV/nucleon),FE_1.280-1.810MEV/N_1/(cm**2-s-sr-MeV/nucleon),FE_1.810-3.070MEV/N_1/(cm**2-s-sr-MeV/nucleon)
2013-09-28T16:00:00.000Z,6.61570,5.35750,0.00000,0.00000,0.00000,0.00000,0.155710,0.0760840,0.00000,0.00000,0.00000,0.00000,4.19910,1.16010,0.00000,0.214170,0.0887750,0.0806530,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0322300,0.00000,0.00384840,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00436280,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0331480,0.00000,0.00000,0.000954350,0.00000,0.00000,0.00000,0.00000,0.00953080,0.00381740,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2013-09-28T17:00:00.000Z,5.06810,3.64820,0.00000,0.00000,0.00000,1.18270,0.318090,0.0194290,0.0200400,0.00000,0.00000,0.00000,0.00000,0.00000,0.545130,0.291680,0.0453390,0.0823810,0.00000,0.0814690,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00642890,0.00000,0.00000,0.00000,0.00000,0.000204610,0.00000,0.00000,0.00000,0.00445620,0.00000,0.000974800,0.00000,0.00000,0.00000,0.00000,0.0338580,0.0155970,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0194700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2013-09-28T18:00:00.000Z,8.44690,3.64820,0.00000,0.00000,0.00000,0.00000,0.318090,0.0388570,0.00000,0.00000,0.00000,0.00000,4.28910,0.00000,1.09030,0.437520,0.136020,0.0411910,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00642890,0.00000,0.000982130,0.00000,0.00000,0.00000,0.00000,0.00000,0.100780,0.00891250,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0116980,0.00194960,0.00000,0.00000,0.00000,0.00000,0.00000,0.00973510,0.00389920,0.00000,0.000974800,0.00000,0.00000,0.00000,0.00000
2013-09-28T19:00:00.000Z,13.5150,1.82410,0.00000,0.00000,0.00000,0.788490,0.00000,0.0971430,0.00000,0.00000,0.103100,0.00000,0.00000,0.00000,1.63540,0.145840,0.136020,0.123570,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0658410,0.0128580,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00194960,0.00000,0.00000,0.00000,0.00000,0.00000,0.101570,0.00779840,0.00194960,0.00000,0.00000,0.00000,7.8711E-05,0.00000,0.0194700,0.00779840,0.00194960,0.00000,0.00000,0.00000,0.00000,0.00000
2013-09-28T20:00:00.000Z,9.99350,5.39530,0.00000,0.00000,0.00000,0.777390,0.00000,0.0766200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.07490,0.00000,0.134100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00193770,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00384430,0.000961070,0.00000,0.00000,0.00000,0.000129630,0.0333810,0.00768860,0.00192210,0.00000,0.00000,0.000242000,0.00000,0.00000,0.0287940,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2013-09-28T21:00:00.000Z,10.1360,5.47240,0.00000,0.00000,0.00000,0.394250,0.159040,0.0194290,0.00000,0.00000,0.00000,0.00000,0.00000,3.55480,0.545130,0.0729200,0.0906770,0.0411910,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.000982130,0.00000,0.00000,0.00000,0.00000,0.00000,0.0503910,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00389920,0.00194960,0.00194960,0.00000,0.00000,0.00000,0.00000,0.0389400,0.00389920,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2013-09-28T22:00:00.000Z,16.8940,3.64820,4.07340,0.00000,0.00000,0.788490,0.318090,0.0388570,0.0400810,0.00000,0.00000,0.00000,0.00000,2.36990,0.545130,0.291680,0.00000,0.123570,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0329210,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0178250,0.00389920,0.000974800,0.00000,0.00000,0.00000,0.00000,0.00000,0.0233950,0.00389920,0.00000,0.00000,0.00000,7.8711E-05,0.223300,0.00000,0.00389920,0.00584880,0.00000,0.00000,0.00000,0.00000,0.00000
2013-09-28T23:00:00.000Z,21.1800,1.90580,0.00000,0.00000,0.00000,1.23570,0.166170,0.0405970,0.00000,0.00000,0.00000,0.00000,4.48120,2.47600,0.569530,0.0761850,0.189480,0.0860700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0687890,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0530610,0.00407380,0.00000,0.00101850,0.00000,0.00000,0.00000,0.00000,0.0406840,0.00814760,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2013-09-29T00:00:00.000Z,8.50760,1.83720,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.38690,1.09810,0.367220,0.136990,0.0414870,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0194250,0.00395910,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00897660,0.00785450,0.00000,0.00000,0.00000,0.00000,0.00000,0.0682030,0.00785450,0.00392730,0.00000,0.00000,0.00000,0.00000,0.00000,0.00980510,0.00392730,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2013-09-29T01:00:00.000Z,10.1360,1.82410,0.00000,0.00000,0.00000,0.394250,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.55480,0.545130,0.218760,0.0906770,0.0411910,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0329210,0.00000,0.00196540,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00891250,0.00194960,0.00000,0.00000,0.000250080,0.00000,0.00000,0.0507870,0.0194960,0.00194960,0.00000,0.00000,0.00000,0.00000,0.223300,0.0194700,0.00000,0.00194960,0.00000,0.00000,0.00000,0.00000,0.00000
